"","ID_Num","VB_ID","FIRE_NAME","FIRE_YEAR","WFU","Veg","NUM_ASSESS","AGENCY","ICS_CODE","PCT_FS","FIRESIZE_HA","BA90_HA","BA90_PCT","BA90_PCT_integer","MaxPatch_HA","MaxPatch_PCT_of_HS","MaxPatch_PCT_of_firesize","TCA100_BA90_HA","TCA100_Pct_of_fireSize","TCA100_Pct_of_BA90","TCA200_BA90_HA","TCA200_Pct_of_fireSize","TCA200_Pct_of_BA90","SDI_LOG","SEI_LOG","SDI_LOG200","SEI_LOG200","SDI_LOGMN1MX200","SEI_LOGMN1MX200","SIMDI_LOGMX200","SIMDI_LOGMN1MX200","SDI_LIN5","SEI_LIN5","SEI_LIN5_MaxP_GT_40ha","Nptype_LIN5","SDI_LIN5_max400","SEI_LIN5_max400","SDI_LIN5_max200","SEI_LIN5_max200","SDI_LIN5_min1max200","SEI_LIN5_min1max200","SIMDI_LIN5MAX200","SIMDI_LIN5MIN1MAX200","MPS","N","MEDPS","PSCOV","PSSD","q"
"355",327,"2008PANTHER_MERRILL_HAYPRESS","PANTHER, MERRILL, HAYPRESS",2008,"no","Forest",2,"USF","KNF",100,28457,7333,25.8,25,2200,30,7.7,2649.7,9.3,36.1,1344.2,4.7,18.3,1.993,0.907,1.753,0.705,1.663,0.8,0.748,0.738,2.724,0.809,0.809,29,2.481,0.745,2.373,0.72,2.369,0.719,0.785,0.779,9.12,804,0.63,930.619,84.879,-0.0027107380786221
"356",328,"2008PEAVINE","PEAVINE",2008,"no","Forest",2,"USF","TNF",70,259,3,1,1,2,83.3,0.9,0,0,0,0,0,0,0,NA,0.534,0.486,0,NA,0.287,0,0,NA,NA,NA,0,NA,0,NA,0,NA,0,0,0.9,3,0.36,106.771,0.961,-0.0229837732009052
"357",329,"2008PIUTE","PIUTE",2008,"no","Forest",2,"USF","SQF",89,15041,7852,52.2,52,5373,68.4,35.7,3516.2,23.4,44.8,1764.1,11.7,22.5,1.068,0.514,0.671,0.27,0.615,0.296,0.256,0.243,1.407,0.497,0.497,17,1.212,0.437,0.73,0.285,0.702,0.274,0.258,0.245,25.91,303,0.45,1198.667,310.63,-0.0021681941253348
"358",330,"2008RICH","RICH",2008,"no","Forest",2,"USF","PNF",89,2594,773,29.8,29,658,85.1,25.4,379.9,14.6,49.2,209.8,8.1,27.1,0.569,0.411,0.648,0.295,0.568,0.353,0.27,0.249,0.569,0.411,0.411,4,0.569,0.411,0.569,0.411,0.539,0.389,0.267,0.247,14.05,55,0.72,623.842,87.659,-0.00251595887517992
"359",331,"2008SCOTCH","SCOTCH, SOUTH FREY",2008,"no","Forest",2,"USF","PNF",92,10421,701,6.7,6,55,7.8,0.5,43.8,0.4,6.2,1.1,0,0.2,1.483,0.921,1.815,0.788,1.585,0.885,0.787,0.752,2.054,0.935,0.935,9,2.054,0.935,2.054,0.935,2.094,0.953,0.856,0.868,3.08,228,0.63,263.316,8.098,-0.0113095053430102
"360",459,"2008SCOTCHMAN","SCOTCHMAN",2008,"no","Forest",2,"USF","TNF",NA,508,83,16.3,16,38,45.3,7.4,2.4,0.5,2.8,0,0,0,NA,NA,1.281,0.616,NA,NA,0.665,NA,NA,NA,NA,NA,NA,NA,1.06,0.964,NA,NA,0.641,NA,4.605,18,1.035,193.908,8.929,-0.0116201563288839
"361",332,"2008SHERWIN","SHERWIN",2008,"no","Forest",1,"USF","INF",100,137,13,9.3,9,12,90.8,8.5,0,0,0,0,0,0,0.306,0.442,0.331,0.301,0.291,0.42,0.168,0.156,0.306,0.442,NA,2,0.306,0.442,0.306,0.442,0.291,0.42,0.166,0.156,4.26,3,1.08,122.369,5.213,-0.0133328076008405
"362",333,"2008SISKIYOUBLUE2COMPLEX","SISKIYOU BLUE2 COMPLEX",2008,"no","Forest",2,"USF","SRF",100,40593,6545,16.1,16,681,10.4,1.7,1813.3,4.5,27.7,729.7,1.8,11.1,1.968,0.946,1.918,0.772,1.789,0.861,0.795,0.78,3.05,0.906,0.906,29,3.05,0.906,2.354,0.751,2.361,0.753,0.818,0.812,5.92,1106,0.63,552.938,32.722,-0.00469559324994261
"363",334,"2008SLIDE","SLIDE",2008,"no","Forest",2,"USF","SHF",93,478,13,2.7,2,2,18.3,0.5,0,0,0,0,0,0,0,NA,1.347,0.752,0.69,0.995,0.691,0.496,0,NA,NA,NA,0,NA,0,NA,0,NA,0,0,0.85,15,0.45,92.562,0.789,-0.0281512552630452
"364",335,"2008TEHIPITE","TEHIPITE",2008,"no","Forest",1,"USF","SNF",62,4881,326,6.7,6,30,9.2,0.6,16.2,0.3,5,0,0,0,1.223,0.882,1.653,0.752,1.388,0.863,0.755,0.707,1.57,0.876,NA,6,1.57,0.876,1.57,0.876,1.623,0.906,0.754,0.777,2.69,121,0.72,204.921,5.518,-0.013168118143661
"365",336,"2008TELEPHONE","TELEPHONE",2008,"no","Forest",2,"USF","SHF",98,2983,424,14.2,14,70,16.5,2.3,23.5,0.8,5.6,0,0,0,1.585,0.985,1.837,0.798,1.668,0.931,0.813,0.794,2.001,0.962,0.962,8,2.001,0.962,2.001,0.962,2.012,0.967,0.857,0.859,3.85,110,0.63,246.107,9.476,-0.00929155889412054
"366",337,"2008TROUGH","TROUGH",2008,"no","Forest",2,"USF","SHF",97,1515,525,34.7,34,186,35.4,12.3,163.5,10.8,31.1,59.5,3.9,11.3,1.091,0.609,1.175,0.49,1.068,0.549,0.512,0.489,1.563,0.803,0.803,7,1.563,0.803,1.563,0.803,1.534,0.788,0.741,0.732,11.42,46,0.585,326.609,37.299,-0.00453039392629929
"367",461,"2008YELLOW","YELLOW,CAMP,JOHNSON",2008,"no","Forest",2,"USF","MNF",NA,13257,1848,13.9,13,809,43.8,6.1,704.1,5.3,38.1,387.8,2.9,21,NA,NA,1.779,0.716,NA,NA,0.753,NA,NA,NA,NA,NA,NA,NA,1.888,0.787,NA,NA,0.765,NA,6.306,293,0.54,778.127,49.065,-0.00250626625732919
"368",338,"2008ZEIGLER","ZEIGLER",2008,"no","Forest",2,"USF","SHF",100,1006,20,1.9,1,9,47.5,0.9,0.3,0,1.6,0,0,0,0.692,0.998,1.15,0.642,0.689,0.994,0.613,0.496,0.692,0.998,NA,2,0.692,0.998,0.692,0.998,0.689,0.994,0.499,0.496,1.4,14,0.315,171.436,2.392,-0.015232793959409
"369",339,"2009BACKBONE","LT-17(BACKBONE)",2009,"no","Forest",2,"USF","SRF",100,2102,530,25.2,25,343,64.7,16.3,188.8,9,35.6,68.2,3.2,12.9,1.077,0.669,1.187,0.516,1.061,0.592,0.543,0.517,1.077,0.669,0.669,5,1.077,0.669,1.077,0.669,1.03,0.64,0.539,0.516,7.92,67,0.45,541.753,42.892,-0.00365669768748678
"371",341,"2009BLACKJACK","BLACKJACK",2009,"no","Forest",1,"USF","INF",100,113,11,9.5,9,9,82.4,7.8,0,0,0,0,0,0,0.466,0.672,0.5,0.455,0,NA,0.293,0,0.466,0.672,NA,2,0.466,0.672,0.466,0.672,0,NA,0.291,0,2.68,4,0.9,133.047,3.562,-0.0138987960173493
"372",342,"2009BROWN","BROWN",2009,"no","Forest",2,"USF","LNF",91,734,309,42,42,271,87.9,37,111.1,15.1,36,37.7,5.1,12.2,0.416,0.379,0.431,0.268,0.393,0.358,0.216,0.207,0.486,0.351,0.351,4,0.486,0.351,0.486,0.351,0.464,0.335,0.221,0.212,38.58,8,1.98,228.722,88.232,-0.00277592539071961
"374",344,"2009ELEPHANT","ELEPHANT",2009,"no","Forest",1,"USF","PNF",78,174,5,3.2,3,2,32.8,1,0,0,0,0,0,0,0,NA,0.723,0.658,0,NA,0.4,0,0,NA,NA,NA,0,NA,0,NA,0,NA,0,0,0.92,6,0.81,56.337,0.515,-0.0296339002385463
"377",347,"2009GRANITE","GRANITE",2009,"no","Forest",2,"USF","SQF",100,577,12,2.1,2,5,38.3,0.8,0,0,0,0,0,0,0,NA,0.628,0.453,0,NA,0.329,0,0,NA,NA,NA,0,NA,0,NA,0,NA,0,0,1.71,7,0.99,86.07,1.472,-0.0209966481817361
"380",350,"2009KNIGHT","KNIGHT",2009,"no","Forest",2,"USF","STF",84,2501,74,3,2,30,40.6,1.2,6,0.2,8.1,0,0,0,0.924,0.841,1.554,0.747,1.188,0.857,0.729,0.654,0.924,0.841,NA,3,0.924,0.841,0.924,0.841,0.949,0.863,0.571,0.585,1.95,38,0.495,249.29,4.859,-0.0127004239217165
"381",351,"2009MILFORD_GRADE","MILFORD_GRADE",2009,"no","Forest",1,"USF","PNF",100,132,1,1,1,1,60,0.6,0,0,0,0,0,0,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,0,NA,0.68,2,0.675,20,0.135,-0.037743525752934
"382",352,"2009REDROCK","REDROCK",2009,"no","Forest",2,"USF","KNF",100,555,58,10.4,10,15,26.1,2.7,0.4,0.1,0.7,0,0,0,0.902,0.821,1.212,0.623,0.98,0.707,0.57,0.512,1.327,0.958,NA,4,1.327,0.958,1.327,0.958,1.314,0.948,0.722,0.714,3.03,19,0.9,143.812,4.36,-0.0153910628069652
"383",353,"2009REDSPOT","REDSPOT",2009,"no","Forest",2,"USF","SHF",100,468,170,36.4,36,124,72.6,26.4,22.6,4.8,13.3,1,0.2,0.6,0.841,0.607,0.947,0.431,0.808,0.502,0.444,0.408,0.841,0.607,0.607,4,0.841,0.607,0.841,0.607,0.781,0.564,0.439,0.407,8.11,21,0.72,322.291,26.133,-0.00465158739332638
"384",354,"2009SHOTGUN","SHOTGUN",2009,"yes","Forest",2,"USF","SQF",100,386,33,8.4,8,18,55.8,4.7,0.1,0,0.4,0,0,0,0.686,0.99,1.285,0.717,0.847,0.771,0.633,0.491,0.686,0.99,NA,2,0.686,0.99,0.686,0.99,0.633,0.914,0.493,0.441,1.92,17,0.63,216.656,4.152,-0.0178492488679632
"385",355,"2009SILVER","SILVER",2009,"no","Forest",1,"USF","PNF",100,127,52,40.8,40,52,99.1,40.5,3.6,2.8,6.9,0,0,0,0.05,0.072,0.05,0.072,0,NA,0.017,0,0.05,0.072,0.072,2,0.05,0.072,0.05,0.072,0,NA,0.017,0,26.01,2,26.01,98.27,25.56,-0.00814675142128008
"386",356,"2009SUGARLOAF","SUGARLOAF",2009,"no","Forest",2,"USF","LNF",81,3807,1844,48.4,48,1478,80.2,38.8,839.5,22,45.5,421.8,11.1,22.9,0.679,0.422,0.742,0.322,0.651,0.363,0.339,0.316,0.865,0.394,0.394,9,0.865,0.394,0.865,0.394,0.822,0.374,0.35,0.329,14.75,125,0.54,892.559,131.658,-0.00163417957151377
"387",357,"2009TENNANT","TENNANT",2009,"no","Forest",2,"USF","KNF",79,1288,848,65.8,65,531,62.7,41.2,468.7,36.4,55.3,251.8,19.5,29.7,0.836,0.603,0.251,0.121,0.211,0.153,0.093,0.083,0.836,0.603,0.603,4,0.836,0.603,0.225,0.205,0.203,0.185,0.093,0.083,35.33,24,0.405,331.435,117.079,-0.00175294050964712
"389",359,"2010BAR","BAR",2010,"no","Forest",2,"USF","PNF",100,421,20,4.8,4,10,48.9,2.3,0,0,0,0,0,0,0.693,1,1.321,0.679,0.958,0.872,0.663,0.577,0.693,1,NA,2,0.693,1,0.693,1,0.688,0.992,0.5,0.494,1.84,11,0.72,148.043,2.725,-0.020607041338081
"390",361,"2010PINECREST","PINECREST",2010,"no","Forest",1,"USF","STF",100,367,6,1.5,1,3,47.6,0.7,0,0,0,0,0,0,0,NA,0.963,0.876,0.691,0.996,0.591,0.497,0,NA,NA,NA,0,NA,0,NA,0,NA,0,0,1.13,5,1.17,76.882,0.872,-0.021536504759132
"393",364,"2011COUGAR","COUGAR",2011,"no","Forest",1,"USF","MDF",100,729,491,67.4,67,485,98.7,66.5,263,36.1,53.5,142.2,19.5,28.9,0.069,0.1,0.081,0.05,0.05,0.072,0.026,0.017,0.069,0.1,0.1,2,0.069,0.1,0.069,0.1,0.05,0.072,0.026,0.017,37.8,13,0.36,341.533,129.1,-0.00201384625056451
"394",365,"2011LION","LION",2011,"no","Forest",1,"USF","SQF",93,8472,1241,14.7,14,407,32.8,4.8,355.8,4.2,28.7,108.8,1.3,8.8,1.778,0.914,1.924,0.774,1.806,0.868,0.814,0.801,2.118,0.852,0.852,12,2.118,0.852,2.118,0.852,2.112,0.85,0.835,0.83,7.09,175,0.63,491.545,34.865,-0.00441789992386113
"395",366,"2011MOTOR","MOTOR",2011,"no","Forest",1,"USF","SNF",96,2117,961,45.4,45,673,70,31.8,431.1,20.4,44.8,244.5,11.6,25.4,1.01,0.564,1.072,0.447,1.019,0.523,0.485,0.475,1.01,0.564,0.564,6,1.01,0.564,1.01,0.564,0.991,0.553,0.483,0.474,18.49,52,0.945,507.151,93.771,-0.00261922735318909
"396",367,"2011ONION","ONION",2011,"no","Forest",1,"USF","KNF",100,231,34,14.7,14,34,100,14.7,5.5,2.4,16.2,0,0,0,0,NA,0,NA,0,NA,0,0,0,NA,NA,NA,0,NA,0,NA,0,NA,0,0,33.93,1,33.93,0,0,-0.00678780817531932
"397",368,"2011RUTH","RUTH",2011,"no","Forest",1,"USF","SRF",83,590,94,15.9,15,34,36.7,5.8,4.9,0.8,5.2,0,0,0,1.013,0.922,1.168,0.6,1.015,0.732,0.628,0.597,1.327,0.957,NA,4,1.327,0.957,1.327,0.957,1.3,0.938,0.72,0.708,6.26,15,1.17,149.1,9.331,-0.0105064751007511
"399",371,"2011WILLOWS","WILLOWS",2011,"no","Forest",1,"USF","SQF",100,137,27,20,19,17,63.2,12.6,1.4,1,5.1,0,0,0,0.658,0.949,1.154,0.593,0.812,0.739,0.559,0.462,0.658,0.949,NA,2,0.658,0.949,0.658,0.949,0.61,0.88,0.465,0.419,2.49,11,0.54,193.868,4.822,-0.0121103090474842
"400",372,"2012BAGLEY","BAGLEY",2012,"no","Forest",2,"USF","SHF",70,18616,3855,20.7,20,1425,37,7.7,1114.3,6,28.9,431,2.3,11.2,1.856,0.892,1.489,0.621,1.356,0.697,0.635,0.611,2.178,0.786,0.786,16,1.889,0.698,1.664,0.63,1.64,0.622,0.644,0.627,6.91,558,0.54,949.595,65.597,-0.00292630409203911
"401",373,"2012BEAR","BEAR",2012,"no","Forest",2,"USF","SNF",100,384,141,36.7,36,83,59.1,21.7,24.3,6.3,17.3,0.1,0,0.1,0.092,0.133,0.109,0.079,0.048,0.07,0.037,0.017,0.752,0.684,0.684,3,0.752,0.684,0.752,0.684,0.715,0.651,0.498,0.488,15.65,9,0.27,187.53,29.348,-0.00374962302923059
"403",375,"2012CHIPS","CHIPS",2012,"no","Forest",2,"USF","PNF",88,30898,6531,21.1,21,996,15.2,3.2,1839.2,6,28.2,698.6,2.3,10.7,1.839,0.884,1.677,0.675,1.563,0.752,0.708,0.691,2.86,0.912,0.912,23,2.481,0.815,2.028,0.702,2.016,0.698,0.731,0.721,7.4,882,0.54,669.929,49.605,-0.00375960454471741
"405",377,"2012FLAT","FLAT",2012,"no","Forest",2,"USF","SHF",99,685,60,8.8,8,23,37.5,3.3,2.9,0.4,4.8,0,0,0,1.348,0.972,1.605,0.772,1.462,0.908,0.758,0.739,1.348,0.972,NA,4,1.348,0.972,1.348,0.972,1.337,0.964,0.729,0.723,3.36,18,1.08,168.901,5.675,-0.0118145705323818
"406",378,"2012GEORGE","GEORGE",2012,"no","Forest",2,"USF","SQF",100,694,99,14.3,14,62,62.4,8.9,13.2,1.9,13.3,0,0,0,1.067,0.77,1.215,0.553,1.017,0.632,0.569,0.524,1.067,0.77,0.77,4,1.067,0.77,1.067,0.77,0.987,0.712,0.562,0.523,4.96,20,0.45,271.111,13.457,-0.0078919478843908
"407",379,"2012GOFF","GOFF",2012,"no","Forest",2,"USF","KNF",95,9504,2224,23.4,23,206,9.3,2.2,340,3.6,15.3,62.4,0.7,2.8,1.822,0.937,1.971,0.793,1.854,0.891,0.826,0.815,2.875,0.96,0.96,20,2.875,0.96,2.875,0.96,2.89,0.965,0.938,0.94,6.3,353,0.54,341.93,21.542,-0.00712895619015024
"408",463,"2012MILL","MILL",2012,"no","Forest",2,"USF","MNF",NA,11957,4888,40.9,40,2350,48.1,19.7,1227.6,10.3,25.1,412.9,3.5,8.4,NA,NA,1.392,0.56,NA,NA,0.599,NA,NA,NA,NA,NA,NA,NA,1.726,0.586,NA,NA,0.619,NA,11.556,423,0.54,1011.239,116.858,-0.00257063207696878
"410",465,"2012NORTH_PASS","NORTH PASS",2012,"no","Forest",2,"USF","MNF",NA,17008,4447,26.1,26,526,11.8,3.1,1104.2,6.5,24.8,280.6,1.7,6.3,NA,NA,1.85,0.744,NA,NA,0.789,NA,NA,NA,NA,NA,NA,NA,2.463,0.809,NA,NA,0.834,NA,8.056,552,0.63,487.166,39.244,-0.00449721887815083
"411",380,"2012PEAK","PEAK",2012,"no","Forest",1,"USF","PNF",95,320,79,24.7,24,30,37.6,9.3,0,0,0,0,0,0,1.268,0.915,1.799,0.819,1.457,0.905,0.786,0.73,1.268,0.915,NA,4,1.268,0.915,1.268,0.915,1.281,0.924,0.695,0.697,1.65,48,0.27,283.236,4.663,-0.0208280662635191
"412",381,"2012RAMSEY","RAMSEY",2012,"no","Forest",2,"USF","STF",95,482,78,16.2,16,34,43.8,7.1,4.4,0.9,5.7,0,0,0,1.244,0.897,1.562,0.711,1.382,0.859,0.727,0.7,1.244,0.897,NA,4,1.244,0.897,1.244,0.897,1.236,0.892,0.684,0.676,3.26,24,0.765,225.22,7.348,-0.011641063444591
"414",383,"2012SALT_CREEK","SALT CREEK",2012,"no","Forest",2,"USF","SHF",82,422,253,60,60,227,89.5,53.7,71,16.8,28,24.3,5.8,9.6,0.404,0.368,0.452,0.217,0.395,0.285,0.194,0.179,0.404,0.368,0.368,3,0.404,0.368,0.404,0.368,0.377,0.343,0.193,0.179,18.1,14,0.42,320.75,58.047,-0.0045540193062332
"415",384,"2012STAFFORD","STAFFORD",2012,"no","Forest",2,"USF","SHF",93,1790,754,42.1,42,255,33.8,14.3,315.1,17.6,41.8,162.5,9.1,21.5,1.362,0.76,1.432,0.597,1.352,0.695,0.681,0.67,1.689,0.812,0.812,8,1.689,0.812,1.689,0.812,1.667,0.802,0.775,0.769,14.51,52,0.495,324.712,47.107,-0.00338811266957229
"417",386,"2013AMERICAN","AMERICAN",2013,"no","Forest",2,"USF","TNF",81,11114,3506,31.5,31,1095,31.2,9.9,948.6,8.5,27.1,319.8,2.9,9.1,1.892,0.91,1.73,0.696,1.629,0.783,0.745,0.732,2.536,0.861,0.861,19,2.536,0.861,2.176,0.768,2.162,0.763,0.78,0.773,8.57,409,0.54,680.646,58.345,-0.00415381766364248
"418",387,"2013ASPEN","ASPEN",2013,"no","Forest",2,"USF","SNF",100,9337,1667,17.9,17,194,11.6,2.1,251.6,2.7,15.1,49.5,0.5,3,1.686,0.941,1.896,0.791,1.751,0.9,0.816,0.801,2.53,0.934,0.934,15,2.53,0.934,2.53,0.934,2.558,0.945,0.908,0.913,4.92,339,0.63,363.552,17.877,-0.00629085011446527
"419",388,"2013BUTLER","BUTLER",2013,"no","Forest",1,"USF","SRF",99,9146,1836,20.1,20,244,13.3,2.7,244.3,2.7,13.3,34.5,0.4,1.9,1.882,0.967,2.09,0.841,1.953,0.939,0.856,0.844,2.559,0.923,0.923,16,2.559,0.923,2.559,0.923,2.586,0.933,0.909,0.914,4.72,389,0.54,354.347,16.724,-0.00797921172836042
"420",389,"2013CORRAL_CMPLX","CORRAL COMPLEX",2013,"no","Forest",2,"USF","SRF",100,5401,1813,33.6,33,616,34,11.4,376.2,7,20.8,38.1,0.7,2.1,1.754,0.844,1.52,0.612,1.449,0.697,0.683,0.674,2.094,0.816,0.816,13,2.094,0.816,1.78,0.716,1.764,0.71,0.716,0.71,11.93,152,0.54,488.667,58.282,-0.0039505178705993
"421",390,"2013FISH","FISH",2013,"no","Forest",2,"USF","SQF",100,852,227,26.6,26,123,54.2,14.4,46.9,5.5,20.7,10.4,1.2,4.6,1.153,0.832,1.301,0.592,1.144,0.711,0.631,0.602,1.153,0.832,0.832,4,1.153,0.832,1.153,0.832,1.101,0.794,0.623,0.6,6.48,35,0.63,341.027,22.099,-0.00583579240287601
"422",466,"2013KYBURZ","KYBURZ",2013,"no","Forest",1,"USF","ENF",NA,232,14,6.1,6,8,59.9,3.7,0,0,0,0,0,0,NA,NA,1.085,0.605,NA,NA,0.57,NA,NA,NA,NA,NA,NA,NA,0.674,0.972,NA,NA,0.481,NA,1.766,8,0.855,146.822,2.593,-0.0201604174970402
"423",391,"2013POWER","POWER",2013,"no","Forest",1,"USF","STF",100,435,100,22.9,22,90,90,20.6,18.9,4.4,19,0.4,0.1,0.4,0.325,0.469,0.478,0.246,0.249,0.226,0.188,0.105,0.325,0.469,0.469,2,0.325,0.469,0.325,0.469,0.213,0.307,0.18,0.104,6.24,16,0.405,346.197,21.596,-0.00735284737918376
"424",392,"2013RIM","RIM",2013,"no","Forest",2,"USF","STF",60,104038,36774,35.3,35,16770,45.6,16.1,17233.7,16.6,46.9,9688.6,9.3,26.3,1.393,0.634,1.096,0.441,1.022,0.491,0.448,0.432,2.451,0.66,0.66,41,1.75,0.488,1.404,0.409,1.379,0.402,0.456,0.442,15.45,2380,0.54,2291.665,354.089,-0.00113228826922873
"425",393,"2013SALMON_RIVER_CMPLX","SALMON RIVER CMPLX",2013,"no","Forest",1,"USF","KNF",100,5986,1411,23.6,23,324,23,5.4,329,5.5,23.3,96.5,1.6,6.8,1.546,0.863,1.72,0.717,1.58,0.812,0.754,0.736,2.196,0.916,0.916,11,2.196,0.916,1.921,0.834,1.912,0.83,0.789,0.782,5.88,240,0.45,495.35,29.127,-0.00538625718272255
"426",394,"2013SHIRLEY","SHIRLEY",2013,"no","Forest",1,"USF","SQF",100,157,54,34.6,34,50,91.7,31.7,8.8,5.6,16.2,0.2,0.2,0.5,0.285,0.411,0.316,0.287,0.262,0.379,0.153,0.136,0.285,0.411,0.411,2,0.285,0.411,0.285,0.411,0.262,0.379,0.152,0.136,18.15,3,3.96,124.128,22.529,-0.0069499176803391
"428",396,"2014BALD","BALD",2014,"no","Forest",1,"USF","LNF",79,16128,8371,51.9,51,2425,29,15,3652.9,22.6,43.6,1940.5,12,23.2,1.168,0.532,0.652,0.262,0.587,0.282,0.236,0.219,2.055,0.725,0.725,17,0.792,0.309,0.654,0.263,0.624,0.251,0.236,0.219,21.14,396,0.72,820.175,173.366,-0.00148206999823916
"429",467,"2014BEAVER","BEAVER",2014,"no","Forest",1,"USF","KNF",NA,13274,4534,34.2,34,1052,23.2,7.9,1712.8,12.9,37.8,787.8,5.9,17.4,NA,NA,1.301,0.524,NA,NA,0.541,NA,NA,NA,NA,NA,NA,NA,1.519,0.536,NA,NA,0.55,NA,12.666,358,0.63,581.61,73.667,-0.00255393547964437
"430",468,"2014EILER","EILER",2014,"no","Forest",1,"USF","LNF",NA,13453,8015,59.6,59,4447,55.5,33.1,4206,31.3,52.5,2315.8,17.2,28.9,NA,NA,0.447,0.18,NA,NA,0.154,NA,NA,NA,NA,NA,NA,NA,0.455,0.19,NA,NA,0.154,NA,32.715,245,0.27,976.581,319.487,-0.000974720089922498
"431",399,"2014FRENCH","FRENCH",2014,"no","Forest",1,"USF","SNF",100,5621,1625,28.9,28,472,29,8.4,359,6.4,22.1,76.1,1.4,4.7,1.44,0.74,1.588,0.639,1.483,0.713,0.657,0.641,2.133,0.858,0.858,12,2.133,0.858,1.558,0.677,1.542,0.67,0.654,0.642,7.1,229,0.45,546.826,38.813,-0.00522088271726119
"432",400,"2014HAPPY_CAMP_CMPLX","HAPPY CAMP CMPLX",2014,"no","Forest",1,"USF","KNF",98,53948,9698,18,17,785,8.1,1.5,2929.9,5.4,30.2,1137.9,2.1,11.7,1.894,0.911,1.718,0.691,1.62,0.779,0.723,0.709,3.285,0.939,0.939,33,2.832,0.841,2.15,0.686,2.142,0.683,0.744,0.735,8.37,1158,0.72,538.028,45.059,-0.00266244317705417
"433",401,"2014KING","KING",2014,"no","Forest",1,"CDF","AEU",65,39265,18478,47.1,47,11296,61.1,28.8,11369.4,29,61.5,8217,20.9,44.5,1.05,0.505,0.682,0.274,0.641,0.308,0.259,0.25,1.797,0.539,0.539,28,1.408,0.432,0.789,0.273,0.769,0.266,0.261,0.252,31.53,586,0.72,1500.597,473.172,-0.00327954532504662
"434",402,"2014LITTLE_DEER","LITTLE DEER",2014,"no","Forest",1,"USF","KNF",75,2226,1017,45.7,45,442,43.5,19.9,281.3,12.6,27.7,100.8,4.5,9.9,0.702,0.436,0.752,0.327,0.661,0.369,0.336,0.314,1.328,0.683,0.683,7,1.328,0.683,0.773,0.431,0.722,0.403,0.341,0.319,14.13,72,0.36,478.273,67.574,-0.00175858484723264
"435",403,"2014NICOLLS","NICOLLS",2014,"no","Forest",1,"USF","SQF",100,721,488,67.8,67,475,97.3,66,181.7,25.2,37.2,44.1,6.1,9,0.142,0.13,0.154,0.096,0.117,0.107,0.053,0.042,0.142,0.13,0.13,3,0.142,0.13,0.142,0.13,0.117,0.107,0.053,0.042,69.78,7,0.9,237.28,165.564,-0.00348767642251772
"436",404,"2014WHITES","WHITES",2014,"no","Forest",1,"USF","KNF",97,13766,2963,21.5,21,593,20,4.3,980.3,7.1,33.1,426.5,3.1,14.4,1.958,0.942,1.81,0.728,1.722,0.828,0.783,0.774,2.651,0.9,0.9,19,2.651,0.9,2.281,0.805,2.273,0.802,0.827,0.822,9.71,305,0.81,455.026,44.203,-0.000863871309716033
